# Sale: Tokyo_Game_Show
# EndDate: 2026-09-24
# Created: 2026-09-19T09:05:12.375Z
# Total: 605
"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"70","Resident Evil Requiem","Tokyo_Game_Show","PPSA31246","PS5","Нет","3.449,00 TL","38%","2.138,38 TL","2026-09-24","","Да","Да","","https://store.playstation.com/en-tr/concept/10015533","2026-02-26","Action","PEGI_18"
"136","PRAGMATA","Tokyo_Game_Show","PPSA02530","PS5","Нет","2.579,00 TL","20%","2.063,20 TL","2026-09-24","Standard Edition: 2.579,00 TL; Deluxe Edition: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10002075","2026-04-16","Action","PEGI_16"
"82","Call of Duty: Black Ops","Tokyo_Game_Show","PPSA34501","PS4, PS5","Нет","1.600,00 TL","50%","800,00 TL","2026-09-24","","Да","Да","","https://store.playstation.com/en-tr/concept/10017657","2026-07-09","Shooter","PEGI_18"
"69","Call of Duty: Black Ops II","Tokyo_Game_Show","PPSA34502","PS4, PS5","Нет","1.600,00 TL","50%","800,00 TL","2026-09-24","","Да","Да","","https://store.playstation.com/en-tr/concept/10017658","2026-07-09","Shooter","PEGI_18"
"9","Forza Horizon 5","Tokyo_Game_Show","PPSA22327","PS5","Нет","1.541,00 TL","60%","616,40 TL","2026-09-24","Standard Edition: 1.541,00 TL; Deluxe Edition: 2.055,00 TL; Premium Edition: 2.570,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010647","2025-04-28","Driving/Racing","PEGI_3"
"141","Resident Evil 4","Tokyo_Game_Show","PPSA07412","PS4, PS5","Нет","1.399,00 TL","75%","349,75 TL","2026-09-24","Standard Edition: 1.399,00 TL; Gold Edition: 1.749,00 TL; Remake Trilogy: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10004473","2023-03-23","Horror","PEGI_18"
"250","DEATH STRANDING 2: ON THE BEACH","Tokyo_Game_Show","PPSA02015","PS5","Нет","3.449,00 TL","38%","2.138,38 TL","2026-09-24","Digital Deluxe Edition: 3.849,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10001538","2025-06-25","Action","PEGI_18"
"35","REANIMAL","Tokyo_Game_Show","PPSA23372","PS5","Нет","1.749,00 TL","20%","1.399,20 TL","2026-09-24","Digital Deluxe Edition: 2.579,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10010999","2026-02-13","Horror","PEGI_18"
"204","No Man's Sky","Tokyo_Game_Show","PPSA01412","PS4, PS5","Нет","1.249,00 TL","60%","499,60 TL","2026-09-24","","Нет","Да","","https://store.playstation.com/en-tr/concept/216600","2020-11-11","Unique","PEGI_12"
"121","Dying Light: The Beast","Tokyo_Game_Show","PPSA24003","PS5","Нет","2.799,00 TL","50%","1.399,50 TL","2026-09-24","Dying Light: The Beast: 2.799,00 TL; Deluxe Edition: 3.249,00 TL; Definitive Edition: 3.849,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10011468","2025-09-18","Action","PEGI_18"
"132","Sea of Thieves","Tokyo_Game_Show","PPSA17668","PS5","Нет","999,00 TL","65%","349,65 TL","2026-09-24","Standard Edition: 999,00 TL; 2026 Deluxe Edition: 1.249,00 TL; 2026 Premium Edition: 1.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008884","2024-04-30","Adventure","PEGI_12"
"382","Directive 8020","Tokyo_Game_Show","PPSA16384","PS5","Нет","2.149,00 TL","20%","1.719,20 TL","2026-09-24","Digital Deluxe Edition: 2.579,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008357","2026-05-12","Horror","PEGI_18"
"203","Echoes of Aincrad","Tokyo_Game_Show","PPSA22969","PS5","Нет","2.999,00 TL","30%","2.099,30 TL","2026-09-24","Standard Edition: 2.999,00 TL; Deluxe Edition: 3.849,00 TL; Ultimate Edition: 4.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010956","2026-07-09","Action","PEGI_12"
"707","DRAGON BALL XENOVERSE 2","Tokyo_Game_Show","PPSA08586","PS4, PS5","Нет","699,00 TL","65%","489,65 TL","2026-09-24","Standard Edition: 699,00 TL; Dragon Ball Xenoverse 1 and 2 Bundle: 654,33 TL; Special Edition: 1.749,00 TL; Deluxe Edition: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/217012","2024-05-23","Fighting","PEGI_12"
"419","NARUTO TO BORUTO: SHINOBI STRIKER","Tokyo_Game_Show","CUSA08767","PS4","Нет","1.049,00 TL","75%","487,25 TL","2026-09-24","Ultimate Edition: 4.949,00 TL; NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition: 1.949,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/227447","2018-08-30","Action","PEGI_12"
"282","Sonic Racing: CrossWorlds","Tokyo_Game_Show","PPSA08804","PS4, PS5","Нет","2.499,00 TL","60%","999,60 TL","2026-09-24","Standard Edition: 2.499,00 TL; Digital Deluxe Edition: 3.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005570","2025-09-25","Driving/Racing","PEGI_3"
"832","Dead Island 2","Tokyo_Game_Show","PPSA03099","PS4, PS5","Нет","1.749,00 TL","80%","349,80 TL","2026-09-24","Ultimate Edition: 2.499,00 TL; Series Bundle: 769,80 TL","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/201061","2023-04-20","Adventure","PEGI_18"
"171","Call of Duty: Modern Warfare","Tokyo_Game_Show","CUSA15277","PS4","Нет","2.159,99 TL","75%","539,99 TL","2026-09-24","","Нет","Нет","","https://store.playstation.com/en-tr/concept/229182","2019-10-24","Shooter","PEGI_18"
"60","Call of Duty: WWII","Tokyo_Game_Show","CUSA08630","PS4","Нет","254,00 TL","75%","63,50 TL","2026-09-24","Call of Duty®: WWII - Gold Edition: 254,00 TL; Call of Duty®: WWII - Digital Deluxe Edition: 1.102,15 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/227115","2018-05-07","Shooter","PEGI_18"
"286","Crash Bandicoot N. Sane Trilogy","Tokyo_Game_Show","CUSA07399","PS4","Нет","1.749,00 TL","70%","524,70 TL","2026-09-24","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227649","2017-06-29","Action","PEGI_7"
"415","Crash Bandicoot 4: It’s About Time","Tokyo_Game_Show","PPSA02433","PS4, PS5","Нет","2.299,00 TL","70%","689,70 TL","2026-09-24","Crash Bandicoot™ 4: It’s About Time: 2.299,00 TL; Crash Bandicoot™ - Quadrilogy Bundle: 769,00 TL; Crash Bandicoot™ - Crashiversary Bundle: 999,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000264","2021-03-12","Action","PEGI_12"
"416","RESIDENT EVIL 3","Tokyo_Game_Show","PPSA03953","PS4, PS5","Нет","1.399,00 TL","80%","279,80 TL","2026-09-24","Standard Edition: 1.399,00 TL; Raccoon City Edition: 2.099,00 TL","Нет","Да","PS Plus","https://store.playstation.com/en-tr/concept/233069","2022-06-13","Adventure","PEGI_18"
"239","RESIDENT EVIL 7 biohazard","Tokyo_Game_Show","PPSA04401","PS4, PS5","Нет","699,00 TL","60%","279,60 TL","2026-09-24","Standard Edition: 699,00 TL; Gold Edition: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/220037","2022-06-13","Action","PEGI_18"
"130","Avatar: Frontiers of Pandora","Tokyo_Game_Show","PPSA07497","PS5","Нет","1.049,00 TL","45%","576,95 TL","2026-09-24","From The Ashes Edition: 1.399,00 TL; Complete Edition: 2.099,00 TL","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/235179","2023-12-06","Unique","PEGI_16"
"198","Nioh 3","Tokyo_Game_Show","PPSA32785","PS5","Нет","3.449,00 TL","43%","1.965,93 TL","2026-09-24","Standard Edition: 3.449,00 TL; Digital Deluxe Edition: 5.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014010","2026-02-05","Role Playing Games","PEGI_18"
"482","Monster Hunter Wilds","Tokyo_Game_Show","PPSA07862","PS5","Нет","1.749,00 TL","25%","1.311,75 TL","2026-09-24","Standard Edition: 1.749,00 TL; Gold Edition: 3.449,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10005176","2025-02-27","Action","PEGI_16"
"583","DARK SOULS III","Tokyo_Game_Show","CUSA03365","PS4","Нет","3.249,00 TL","50%","1.624,50 TL","2026-09-24","DARK SOULS™ III - Deluxe Edition: 4.499,00 TL; DARK SOULS™ III: 3.249,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201190","2016-04-11","Action","PEGI_16"
